# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s
my-server,580,2017-06-15 04:50:01 UTC,bond1,0.42,0.10,0.02,0.00,0.00,0.00,0.00
my-server,579,2017-06-15 05:00:01 UTC,lo,3.61,3.61,0.59,0.59,0.00,0.00,0.00
my-server,579,2017-06-15 05:00:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,579,2017-06-15 05:00:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,579,2017-06-15 05:00:01 UTC,eth2,2528.22,3373.16,840.84,2469.09,0.00,0.00,0.00
my-server,579,2017-06-15 05:00:01 UTC,eth3,0.21,0.10,0.01,0.00,0.00,0.00,0.00
my-server,579,2017-06-15 05:00:01 UTC,eth4,1.28,0.00,0.11,0.00,0.00,0.00,0.00
my-server,579,2017-06-15 05:00:01 UTC,eth5,0.21,0.00,0.01,0.00,0.00,0.00,0.00
my-server,579,2017-06-15 05:00:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,579,2017-06-15 05:00:01 UTC,bond0,2529.50,3373.16,840.94,2469.09,0.00,0.00,0.00
my-server,579,2017-06-15 05:00:01 UTC,bond1,0.41,0.10,0.02,0.00,0.00,0.00,0.00
my-server,575,2017-06-15 05:10:01 UTC,lo,3.72,3.72,0.64,0.64,0.00,0.00,0.00
my-server,575,2017-06-15 05:10:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,575,2017-06-15 05:10:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,575,2017-06-15 05:10:01 UTC,eth2,1239.28,1941.15,408.02,1643.75,0.00,0.00,0.00
my-server,575,2017-06-15 05:10:01 UTC,eth3,0.21,0.10,0.01,0.00,0.00,0.00,0.00
my-server,575,2017-06-15 05:10:01 UTC,eth4,1.47,0.00,0.11,0.00,0.00,0.00,0.00
my-server,575,2017-06-15 05:10:01 UTC,eth5,0.21,0.00,0.01,0.00,0.00,0.00,0.00
my-server,575,2017-06-15 05:10:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,575,2017-06-15 05:10:01 UTC,bond0,1240.75,1941.15,408.13,1643.75,0.00,0.00,0.00
my-server,575,2017-06-15 05:10:01 UTC,bond1,0.41,0.10,0.02,0.00,0.00,0.00,0.00
my-server,577,2017-06-15 05:20:01 UTC,lo,3.84,3.84,1.33,1.33,0.00,0.00,0.00
my-server,577,2017-06-15 05:20:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,577,2017-06-15 05:20:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,577,2017-06-15 05:20:01 UTC,eth2,1234.54,1902.61,427.62,1600.49,0.00,0.00,0.00
my-server,577,2017-06-15 05:20:01 UTC,eth3,0.21,0.10,0.01,0.00,0.00,0.00,0.00
my-server,577,2017-06-15 05:20:01 UTC,eth4,1.50,0.00,0.11,0.00,0.00,0.00,0.00
my-server,577,2017-06-15 05:20:01 UTC,eth5,0.21,0.00,0.01,0.00,0.00,0.00,0.00
my-server,577,2017-06-15 05:20:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,577,2017-06-15 05:20:01 UTC,bond0,1236.04,1902.61,427.73,1600.49,0.00,0.00,0.00
my-server,577,2017-06-15 05:20:01 UTC,bond1,0.42,0.10,0.02,0.00,0.00,0.00,0.00
my-server,583,2017-06-15 05:30:01 UTC,lo,3.48,3.48,0.56,0.56,0.00,0.00,0.00
my-server,583,2017-06-15 05:30:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,583,2017-06-15 05:30:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,583,2017-06-15 05:30:01 UTC,eth2,1181.68,1666.12,397.14,1275.07,0.00,0.00,0.00
my-server,583,2017-06-15 05:30:01 UTC,eth3,0.21,0.10,0.01,0.00,0.00,0.00,0.00
my-server,583,2017-06-15 05:30:01 UTC,eth4,1.02,0.00,0.08,0.00,0.00,0.00,0.00
my-server,583,2017-06-15 05:30:01 UTC,eth5,0.21,0.00,0.01,0.00,0.00,0.00,0.00
my-server,583,2017-06-15 05:30:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,583,2017-06-15 05:30:01 UTC,bond0,1182.70,1666.12,397.22,1275.07,0.00,0.00,0.00
my-server,583,2017-06-15 05:30:01 UTC,bond1,0.41,0.10,0.02,0.00,0.00,0.00,0.00
my-server,587,2017-06-15 05:40:01 UTC,lo,3.90,3.90,0.66,0.66,0.00,0.00,0.00
my-server,587,2017-06-15 05:40:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,587,2017-06-15 05:40:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,587,2017-06-15 05:40:01 UTC,eth2,1252.60,3724.19,307.08,4200.51,0.00,0.00,0.00
my-server,587,2017-06-15 05:40:01 UTC,eth3,0.20,0.10,0.01,0.00,0.00,0.00,0.00
my-server,587,2017-06-15 05:40:01 UTC,eth4,1.03,0.00,0.08,0.00,0.00,0.00,0.00
my-server,587,2017-06-15 05:40:01 UTC,eth5,0.20,0.00,0.01,0.00,0.00,0.00,0.00
my-server,587,2017-06-15 05:40:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,587,2017-06-15 05:40:01 UTC,bond0,1253.63,3724.19,307.16,4200.51,0.00,0.00,0.00
my-server,587,2017-06-15 05:40:01 UTC,bond1,0.41,0.10,0.02,0.00,0.00,0.00,0.00
my-server,586,2017-06-15 05:50:01 UTC,lo,3.81,3.81,0.62,0.62,0.00,0.00,0.00
my-server,586,2017-06-15 05:50:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,586,2017-06-15 05:50:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,586,2017-06-15 05:50:01 UTC,eth2,957.11,1325.64,253.22,957.48,0.00,0.00,0.00
my-server,586,2017-06-15 05:50:01 UTC,eth3,0.20,0.10,0.01,0.00,0.00,0.00,0.00
my-server,586,2017-06-15 05:50:01 UTC,eth4,1.13,0.00,0.09,0.00,0.00,0.00,0.00
my-server,586,2017-06-15 05:50:01 UTC,eth5,0.20,0.00,0.01,0.00,0.00,0.00,0.00
my-server,586,2017-06-15 05:50:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,586,2017-06-15 05:50:01 UTC,bond0,958.24,1325.64,253.31,957.48,0.00,0.00,0.00
my-server,586,2017-06-15 05:50:01 UTC,bond1,0.41,0.10,0.02,0.00,0.00,0.00,0.00
my-server,585,2017-06-15 06:00:01 UTC,lo,3.52,3.52,0.57,0.57,0.00,0.00,0.00
my-server,585,2017-06-15 06:00:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,585,2017-06-15 06:00:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,585,2017-06-15 06:00:01 UTC,eth2,848.33,1238.62,236.36,977.66,0.00,0.00,0.00
